15,13
-1,-1,-1, 6,-1,-1,-1,-1,-1,-1,-1,-1,-1
 1, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1
-1,-1,-1, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1, 0,-1,-1,-1,-1, 7,-1,-1,-1,-1
-1,-1,-1, 0,-1,-1,-1,-1, 0,-1,-1,-1,-1
-1,-1, 2, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1
-1, 8,-1, 0,-1,-1,-1,-1, 0,-1,-1,-1, 9
 3, 0, 0, 0, 0, 0, 0,-1, 0,-1,-1,-1, 0
-1, 0,-1,-1,-1,-1,-1,-1, 0,-1,-1,-1, 0
-1, 0,-1,-1,-1,-1,-1,10, 0,-1,-1,-1, 0
-1, 0,-1,-1,-1, 4, 0, 0, 0, 0, 0, 0, 0
-1, 0,-1,-1,-1,-1,-1, 0,-1,-1,-1,-1, 0
-1, 0,-1,-1,-1,-1,-1, 0,-1,-1,-1,-1, 0
-1,-1,-1,-1, 5, 0, 0, 0, 0, 0, 0,-1, 0
